RA (J2000) degree,DEC (J2000) degree,"Type (FRI=0,FRII=1,Compact=2,Bent=3)",Source,filepath_literature,coord_str
205.394,53.745,3,Proctor_Tab1,Bent/205.394_53.745_3_Proctor_Tab1.png,13 41 34.5 +53 44 42
334.678,-9.361,1,MiraBest,FRII/334.678_-9.361_1_MiraBest.png,200_334.678-009.361_0.1864_0061.39.png
334.678,-9.361,3,Proctor_Tab1,Bent/334.678_-9.361_3_Proctor_Tab1.png,22 18 42.8 -09 21 39
143.458,45.333,0,MiraBest,FRI/143.458_45.333_0_MiraBest.png,100_143.458+045.333_0.1339_0083.24.png
143.458,45.332,3,Proctor_Tab1,Bent/143.458_45.332_3_Proctor_Tab1.png,09 33 49.9 +45 19 56
155.46,8.143,0,MiraBest,FRI/155.46_8.143_0_MiraBest.png,100_155.460+008.143_0.1033_0044.56.png
155.46,8.143,1,Capetti2017b,FRII/155.46_8.143_1_Capetti2017b.png,10 21 50.38 +08 08 33.8
161.928,43.781,0,MiraBest,FRI/161.928_43.781_0_MiraBest.png,100_161.928+043.781_0.0858_0112.61.png
161.928,43.781,1,Capetti2017b,FRII/161.928_43.781_1_Capetti2017b.png,10 47 42.83 +43 46 52.7
182.057,44.062,0,MiraBest,FRI/182.057_44.062_0_MiraBest.png,100_182.057+044.062_0.3405_0058.44.png
182.057,44.062,3,Proctor_Tab1,Bent/182.057_44.062_3_Proctor_Tab1.png,12 08 13.7 +44 03 44
149.174,18.597,0,MiraBest,FRI/149.174_18.597_0_MiraBest.png,100_149.174+018.597_0.1658_0049.58.png
149.174,18.597,3,Proctor_Tab1,Bent/149.174_18.597_3_Proctor_Tab1.png,09 56 41.7 +18 35 48
184.167,3.709,3,MiraBest,Bent/184.167_3.709_3_MiraBest.png,102_184.167+003.709_0.0800_0109.60.png
184.167,3.709,0,Capetti2017a,FRI/184.167_3.709_0_Capetti2017a.png,12 16 40.12 +03 42 31.5
153.027,8.693,0,MiraBest,FRI/153.027_8.693_0_MiraBest.png,100_153.027+008.693_0.0984_0091.60.png
153.03,8.692,3,Proctor_Tab1,Bent/153.03_8.692_3_Proctor_Tab1.png,10 12 07.3 +08 41 33
162.481,46.32,0,MiraBest,FRI/162.481_46.32_0_MiraBest.png,100_162.481+046.320_0.3508_0078.24.png
162.482,46.32,3,Proctor_Tab1,Bent/162.482_46.32_3_Proctor_Tab1.png,10 49 55.7 +46 19 12
225.621,52.734,0,MiraBest,FRI/225.621_52.734_0_MiraBest.png,100_225.621+052.734_0.1331_0064.20.png
225.62,52.739,3,Proctor_Tab1,Bent/225.62_52.739_3_Proctor_Tab1.png,15 02 28.9 +52 44 20
181.244,45.994,0,MiraBest,FRI/181.244_45.994_0_MiraBest.png,100_181.244+045.994_0.2130_0072.27.png
181.245,45.992,3,Proctor_Tab1,Bent/181.245_45.992_3_Proctor_Tab1.png,12 04 58.8 +45 59 33
197.653,24.313,0,MiraBest,FRI/197.653_24.313_0_MiraBest.png,100_197.653+024.313_0.2819_0036.85.png
197.653,24.312,3,Proctor_Tab1,Bent/197.653_24.312_3_Proctor_Tab1.png,13 10 36.7 +24 18 44
221.609,6.566,0,MiraBest,FRI/221.609_6.566_0_MiraBest.png,100_221.609+006.566_0.0625_0051.49.png
221.609,6.566,1,Capetti2017b,FRII/221.609_6.566_1_Capetti2017b.png,14 46 26.18 +06 33 59.1
228.706,10.284,0,MiraBest,FRI/228.706_10.284_0_MiraBest.png,100_228.706+010.284_0.0572_0089.94.png
228.699,10.279,3,Proctor_Tab1,Bent/228.699_10.279_3_Proctor_Tab1.png,15 14 47.8 +10 16 46
159.653,1.297,0,MiraBest,FRI/159.653_1.297_0_MiraBest.png,100_159.653+001.297_0.1285_0095.92.png
159.652,1.296,3,Proctor_Tab1,Bent/159.652_1.296_3_Proctor_Tab1.png,10 38 36.6 +01 17 47
169.641,31.255,0,MiraBest,FRI/169.641_31.255_0_MiraBest.png,100_169.641+031.255_0.2181_0081.13.png
169.64,31.253,3,MiraBest,Bent/169.64_31.253_3_MiraBest.png,102_169.640+031.253_0.2198_0060.00.png
169.641,31.255,0,MiraBest,FRI/169.641_31.255_0_MiraBest.png,100_169.641+031.255_0.2181_0081.13.png
169.639,31.254,3,Proctor_Tab1,Bent/169.639_31.254_3_Proctor_Tab1.png,11 18 33.4 +31 15 15
258.097,64.033,3,MiraBest,Bent/258.097_64.033_3_MiraBest.png,104_258.097+064.033_0.0798_0050.73.png
258.096,64.033,0,Capetti2017a,FRI/258.096_64.033_0_Capetti2017a.png,17 12 23.15 +64 01 57.1
152.017,50.445,0,MiraBest,FRI/152.017_50.445_0_MiraBest.png,100_152.017+050.445_0.1342_0038.41.png
152.017,50.445,3,Capetti2017a,Bent/152.017_50.445_3_Capetti2017a.png,10 08 04.13 +50 26 42.8
118.448,23.032,0,MiraBest,FRI/118.448_23.032_0_MiraBest.png,100_118.448+023.032_0.5016_0035.76.png
118.447,23.031,3,Proctor_Tab1,Bent/118.447_23.031_3_Proctor_Tab1.png,07 53 47.2 +23 01 50
124.516,54.619,0,MiraBest,FRI/124.516_54.619_0_MiraBest.png,100_124.516+054.619_0.1174_0128.06.png
124.515,54.619,3,Proctor_Tab1,Bent/124.515_54.619_3_Proctor_Tab1.png,08 18 03.7 +54 37 08
131.189,21.492,0,MiraBest,FRI/131.189_21.492_0_MiraBest.png,100_131.189+021.492_0.2720_0042.73.png
131.189,21.492,3,Proctor_Tab1,Bent/131.189_21.492_3_Proctor_Tab1.png,08 44 45.3 +21 29 32
153.651,49.759,0,MiraBest,FRI/153.651_49.759_0_MiraBest.png,100_153.651+049.759_0.2091_0119.41.png
153.651,49.759,3,Proctor_Tab1,Bent/153.651_49.759_3_Proctor_Tab1.png,10 14 36.3 +49 45 31
245.62,26.783,0,MiraBest,FRI/245.62_26.783_0_MiraBest.png,100_245.620+026.783_0.2206_0074.14.png
245.62,26.782,3,Proctor_Tab1,Bent/245.62_26.782_3_Proctor_Tab1.png,16 22 28.9 +26 46 54
228.597,1.192,0,MiraBest,FRI/228.597_1.192_0_MiraBest.png,100_228.597+001.192_0.1253_0038.20.png
228.597,1.192,1,Capetti2017b,FRII/228.597_1.192_1_Capetti2017b.png,15 14 23.26 +01 11 30.7
156.257,4.034,0,MiraBest,FRI/156.257_4.034_0_MiraBest.png,100_156.257+004.034_0.2112_0027.64.png
156.258,4.028,3,Proctor_Tab1,Bent/156.258_4.028_3_Proctor_Tab1.png,10 25 01.9 +04 01 41
132.772,8.852,0,MiraBest,FRI/132.772_8.852_0_MiraBest.png,100_132.772+008.852_0.1271_0086.31.png
132.772,8.852,3,Proctor_Tab1,Bent/132.772_8.852_3_Proctor_Tab1.png,08 51 05.3 +08 51 07
141.413,36.452,0,MiraBest,FRI/141.413_36.452_0_MiraBest.png,100_141.413+036.452_0.1121_0168.26.png
141.412,36.451,3,Proctor_Tab1,Bent/141.412_36.451_3_Proctor_Tab1.png,09 25 39.0 +36 27 05
232.44,30.71,3,MiraBest,Bent/232.44_30.71_3_MiraBest.png,102_232.440+030.710_0.1138_0036.60.png
232.44,30.71,0,Capetti2017a,FRI/232.44_30.71_0_Capetti2017a.png,15 29 45.60 +30 42 35.6
127.147,32.474,0,MiraBest,FRI/127.147_32.474_0_MiraBest.png,100_127.147+032.474_0.2797_0052.19.png
127.146,32.473,3,Proctor_Tab1,Bent/127.146_32.473_3_Proctor_Tab1.png,08 28 35.1 +32 28 21
219.313,24.759,0,MiraBest,FRI/219.313_24.759_0_MiraBest.png,100_219.313+024.759_0.0862_0151.30.png
219.312,24.759,1,Capetti2017b,FRII/219.312_24.759_1_Capetti2017b.png,14 37 15.00 +24 45 32.2
242.045,32.905,0,MiraBest,FRI/242.045_32.905_0_MiraBest.png,100_242.045+032.905_0.3038_0116.27.png
242.045,32.905,3,Proctor_Tab1,Bent/242.045_32.905_3_Proctor_Tab1.png,16 08 10.8 +32 54 18
229.165,2.787,0,MiraBest,FRI/229.165_2.787_0_MiraBest.png,100_229.165+002.787_0.1098_0147.48.png
229.164,2.787,1,Capetti2017b,FRII/229.164_2.787_1_Capetti2017b.png,15 16 39.48 +02 47 12.6
139.283,55.152,0,MiraBest,FRI/139.283_55.152_0_MiraBest.png,100_139.283+055.152_0.1820_0092.37.png
139.282,55.151,3,Proctor_Tab1,Bent/139.282_55.151_3_Proctor_Tab1.png,09 17 07.8 +55 09 03
173.497,49.062,3,MiraBest,Bent/173.497_49.062_3_MiraBest.png,102_173.497+049.062_0.0316_0126.80.png
173.497,49.062,0,Capetti2017a,FRI/173.497_49.062_0_Capetti2017a.png,11 33 59.23 +49 03 43.4
190.531,50.363,3,MiraBest,Bent/190.531_50.363_3_MiraBest.png,102_190.531+050.363_0.1479_0094.15.png
190.531,50.363,0,Capetti2017a,FRI/190.531_50.363_0_Capetti2017a.png,12 42 07.38 +50 21 46.6
229.691,6.232,3,MiraBest,Bent/229.691_6.232_3_MiraBest.png,104_229.691+006.232_0.1021_0035.38.png
229.69,6.232,0,Capetti2017a,FRI/229.69_6.232_0_Capetti2017a.png,15 18 45.72 +06 13 56.1
23.197,1.263,1,MiraBest,FRII/23.197_1.263_1_MiraBest.png,200_023.197+001.263_0.1256_0082.13.png
23.196,1.262,3,Proctor_Tab1,Bent/23.196_1.262_3_Proctor_Tab1.png,01 32 47.1 +01 15 45
208.637,28.243,0,MiraBest,FRI/208.637_28.243_0_MiraBest.png,100_208.637+028.243_0.0645_0082.21.png
208.637,28.243,1,Capetti2017b,FRII/208.637_28.243_1_Capetti2017b.png,13 54 32.96 +28 14 36.1
218.538,1.617,0,MiraBest,FRI/218.538_1.617_0_MiraBest.png,100_218.538+001.617_0.1379_0119.77.png
218.532,1.614,3,Proctor_Tab1,Bent/218.532_1.614_3_Proctor_Tab1.png,14 34 07.6 +01 36 50
199.415,19.172,0,MiraBest,FRI/199.415_19.172_0_MiraBest.png,100_199.415+019.172_0.2685_0063.42.png
199.41,19.171,3,Proctor_Tab1,Bent/199.41_19.171_3_Proctor_Tab1.png,13 17 38.3 +19 10 16
175.084,53.841,0,MiraBest,FRI/175.084_53.841_0_MiraBest.png,100_175.084+053.841_0.1480_0075.33.png
175.082,53.843,3,Proctor_Tab1,Bent/175.082_53.843_3_Proctor_Tab1.png,11 40 19.6 +53 50 35
173.497,49.062,0,Capetti2017a,FRI/173.497_49.062_0_Capetti2017a.png,11 33 59.23 +49 03 43.4
173.497,49.062,3,Proctor_Tab1,Bent/173.497_49.062_3_Proctor_Tab1.png,11 33 59.2 +49 03 44
227.489,33.454,3,Capetti2017a,Bent/227.489_33.454_3_Capetti2017a.png,15 09 57.37 +33 27 15.0
227.499,33.463,0,Capetti2017a,FRI/227.499_33.463_0_Capetti2017a.png,15 09 59.74 +33 27 46.1
227.499,33.463,0,Capetti2017a,FRI/227.499_33.463_0_Capetti2017a.png,15 09 59.74 +33 27 46.1
227.488,33.454,3,Proctor_Tab1,Bent/227.488_33.454_3_Proctor_Tab1.png,15 09 57.2 +33 27 16
41.494,-6.817,1,Capetti2017b,FRII/41.494_-6.817_1_Capetti2017b.png,02 45 58.54 -06 49 00.6
41.493,-6.816,3,Proctor_Tab1,Bent/41.493_-6.816_3_Proctor_Tab1.png,02 45 58.4 -06 48 59
205.395,53.745,1,Capetti2017b,FRII/205.395_53.745_1_Capetti2017b.png,13 41 34.85 +53 44 43.7
205.394,53.745,3,Proctor_Tab1,Bent/205.394_53.745_3_Proctor_Tab1.png,13 41 34.5 +53 44 42
221.605,21.703,1,Capetti2017b,FRII/221.605_21.703_1_Capetti2017b.png,14 46 25.13 +21 42 09.8
221.605,21.694,3,Proctor_Tab1,Bent/221.605_21.694_3_Proctor_Tab1.png,14 46 25.2 +21 41 39
